Transaction Date,Posted Date,Card No.,Description,Category,Debit,Credit
2017-09-15,2017-09-18,7123,COA PARKING METERS,Gas/Automotive,4.2,
2017-09-16,2017-09-18,7123,BRUSHY CREEK MUNICIPAL,Utilities,137,
2017-09-16,2017-09-18,7123,ACADEMY SPORTS #27,Merchandise,35.67,
2017-09-18,2017-09-18,2002,Amazon.com,Merchandise,21.24,
2017-09-16,2017-09-18,2002,AUSTIN SPORTS APPAREL,Merchandise,32.48,
2017-09-15,2017-09-15,2002,CAPITAL ONE ONLINE PYMT,Payment/Credit,,5996.64
2017-09-14,2017-09-15,2002,HEB  #373,Merchandise,200.34,
2017-09-14,2017-09-15,2002,AMAZON MKTPLACE PMTS,Merchandise,44.6,
2017-09-13,2017-09-13,2002,Amazon.com,Merchandise,4.1,
2017-09-12,2017-09-12,2002,TARGET.COM  *,Merchandise,5,
2017-09-12,2017-09-12,2002,TARGET.COM  *,Merchandise,33.96,
2017-09-11,2017-09-13,7123,SHELL OIL 57545449704,Gas/Automotive,47.06,
2017-09-11,2017-09-12,2002,MCDONALD'S F30858,Dining,14.15,
2017-09-11,2017-09-12,2002,AUSTIN AQUARIUM,Entertainment,24.79,
2017-09-11,2017-09-12,2002,Amazon.com,Merchandise,4.25,
2017-09-11,2017-09-12,2002,FLIX BREWHOUSE LLC,Dining,12.31,
2017-09-11,2017-09-11,2002,Amazon.com,Merchandise,8.89,
2017-09-09,2017-09-11,7123,HEB  #373,Merchandise,12.67,
2017-09-09,2017-09-09,7123,DAIRY QUEEN #43712 QPS,Dining,3.38,
2017-09-09,2017-09-09,7123,DAIRY QUEEN #43712 QPS,Dining,3.71,
2017-09-08,2017-09-09,7123,FINLEY'S AVERY RANCH,Other Services,40,
2017-09-08,2017-09-09,7123,HARRY'S 888-212-6855,Merchandise,3.25,
2017-09-08,2017-09-09,2002,FLIX BREWHOUSE,Entertainment,12.72,
2017-09-07,2017-09-07,2002,TWC*TIME WARNER CABLE,Phone/Cable,141.18,
2017-09-06,2017-09-07,7123,HEB #639,Merchandise,74.56,
2017-09-06,2017-09-07,2002,HEB  #373,Merchandise,160.35,
2017-09-06,2017-09-07,7123,LA MADELEINE #1170,Dining,10.81,
2017-09-05,2017-09-06,2002,SQ *CUPPA AUSTIN CO,Merchandise,6.85,
2017-09-05,2017-09-05,2002,Amazon.com,Merchandise,11.15,
2017-09-04,2017-09-06,7123,SANTIAGOS,Dining,54.44,
2017-09-04,2017-09-05,7123,DONUT TACO PALACE OF R,Dining,18.7,
2017-09-03,2017-09-04,2002,AMAZON MKTPLACE PMTS,Merchandise,51.43,
2017-09-02,2017-09-04,2002,GAP OUTLET US 1636,Merchandise,24.37,
2017-09-02,2017-09-04,7123,SHELL OIL 57545449704,Gas/Automotive,40.26,
2017-09-02,2017-09-04,2002,GAP OUTLET.COM 2679,Merchandise,,12.12
2017-09-02,2017-09-04,2002,GAP OUTLET.COM 2679,Merchandise,,3.81
2017-09-02,2017-09-04,2002,BARNES & NOBLE #2009,Merchandise,16.2,
2017-09-02,2017-09-04,2002,GAP OUTLET.COM 2679,Merchandise,,6.36
2017-09-02,2017-09-04,2002,ULTA #91,Merchandise,46.54,
2017-08-31,2017-09-02,7123,7-ELEVEN 25945,Gas/Automotive,30.55,
2017-08-31,2017-09-01,2002,AMAZON MKTPLACE PMTS,Merchandise,93.71,
2017-08-29,2017-08-30,2002,HEB  #373,Merchandise,118.84,
2017-08-28,2017-08-29,2002,BESTBUYCOM804353023562,Merchandise,159.36,
2017-08-24,2017-08-26,2002,OLD NAVY ON-LINE,Merchandise,,16
2017-08-24,2017-08-25,2002,DISCOUNT POWER,Utilities,170.71,
2017-08-24,2017-08-25,2002,ZOE S RESTAURANT,Dining,17.71,
2017-08-24,2017-08-25,2002,WB41,Merchandise,40.01,
2017-08-23,2017-08-25,7123,7-ELEVEN 36977,Gas/Automotive,37.54,
2017-08-23,2017-08-24,2002,HEB  #373,Merchandise,221.23,
2017-08-23,2017-08-24,2002,HEB TO U,Merchandise,,1.02
2017-08-22,2017-08-24,2002,GAP OUTLET.COM 2679,Merchandise,32.91,
